start,end,duration,type
2024-08-19 16:59:00-04:00,2024-08-19 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-20 16:59:00-04:00,2024-08-20 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-21 16:59:00-04:00,2024-08-21 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-22 16:59:00-04:00,2024-08-22 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-23 11:59:00-04:00,2024-08-25 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-08-26 16:59:00-04:00,2024-08-26 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-27 16:59:00-04:00,2024-08-27 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-28 16:59:00-04:00,2024-08-28 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-29 16:59:00-04:00,2024-08-29 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-08-30 11:59:00-04:00,2024-09-01 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-09-02 12:59:00-04:00,2024-09-02 18:00:00-04:00,0 days 05:01:00,MISSING DATA
2024-09-03 16:59:00-04:00,2024-09-03 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-04 16:59:00-04:00,2024-09-04 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-05 16:59:00-04:00,2024-09-05 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-06 11:59:00-04:00,2024-09-08 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-09-09 16:59:00-04:00,2024-09-09 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-10 16:59:00-04:00,2024-09-10 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-11 16:59:00-04:00,2024-09-11 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-12 16:59:00-04:00,2024-09-12 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-13 11:59:00-04:00,2024-09-15 18:00:00-04:00,2 days 06:01:00,WEEKEND/HOLIDAY
2024-09-16 16:59:00-04:00,2024-09-16 18:00:00-04:00,0 days 01:01:00,MISSING DATA
2024-09-17 16:59:00-04:00,2024-09-17 18:00:00-04:00,0 days 01:01:00,MISSING DATA
