entry_time,exit_time,pnl,reason
1702409460000,1702409460000,-3.8344043541292194,SL Hit
1702409520000,1702409520000,5.0,TP Hit
1702409700000,1702409700000,-8.85083844820474,SL Hit
1702409880000,1702409880000,-2.308831718088186,SL Hit
1702418220000,1702418220000,5.056910264131147,TP Hit
1702425600000,1702425600000,5.0,TP Hit
1702427340000,1702427340000,-1.2125785870157415,SL Hit
1702427460000,1702427460000,-1.7017897000259836,SL Hit
1702428360000,1702428360000,-0.8207561578747118,SL Hit
1702428480000,1702428480000,-1.2854989320403547,SL Hit
1702428780000,1702428780000,-2.281884283242107,SL Hit
1702431180000,1702431180000,-1.4845089435693808,SL Hit
1702431660000,1702431660000,-4.967477349920955,SL Hit
1702431840000,1702431840000,6.85147690505255,TP Hit
1702432440000,1702432440000,5.0,TP Hit
1702434480000,1702434480000,-1.155083765006566,SL Hit
1702434540000,1702434540000,-0.6440063532209024,SL Hit
1702435740000,1702435740000,-0.5706313569462509,SL Hit
1702438500000,1702438500000,-0.4923080778171425,SL Hit
1702438620000,1702438620000,-0.9839289294031914,SL Hit
1702438800000,1702438800000,-0.943413209533901,SL Hit
1702439040000,1702439040000,5.0,TP Hit
1702439340000,1702439340000,-1.0090906706027454,SL Hit
1702439940000,1702439940000,-1.9769280125838122,SL Hit
1702440120000,1702440120000,-0.4465092810569331,SL Hit
1702440780000,1702440780000,-0.441401475269231,SL Hit
1702442880000,1702442880000,-2.5364265423922916,SL Hit
1702442940000,1702442940000,-0.534782640505,SL Hit
1702446300000,1702446300000,-0.6004830267193029,SL Hit
1702446600000,1702446600000,-1.0789324949510046,SL Hit
1702448280000,1702448280000,-1.6580731041685794,SL Hit
1702448340000,1702448340000,5.0,TP Hit
1702449180000,1702449180000,-2.34141522525897,SL Hit
1702449780000,1702449780000,-3.3456703815536457,SL Hit
1702451340000,1702451340000,-0.9343252626276808,SL Hit
1702451400000,1702451400000,-0.9033020295828464,SL Hit
1702451460000,1702451460000,-1.9012804560406948,SL Hit
1702451520000,1702451520000,-0.9083318520351895,SL Hit
1702451700000,1702451700000,-1.9059510054648854,SL Hit
1702451760000,1702451760000,-2.945562813045399,SL Hit
