exit_time,pnl,reason
1726678620000,-517.6132281848477,SL Hit
1726682040000,199.61519581757602,TP Hit
1726683120000,114.13460056655458,TP Hit (Same Bar)
1726684440000,115.81245288411446,TP Hit
1726753800000,789.5,Reverse
1726753860000,85.7800985705835,TP Hit
1726754160000,73.82599537872011,TP Hit
1726761120000,-390.5,Reverse
1726762620000,-526.1822021669213,SL Hit
1726765440000,130.20463681539695,TP Hit
1726766580000,115.27176069311099,TP Hit
1726767540000,96.27113025401195,TP Hit
1726769640000,-530.8373331262701,SL Hit
1726773540000,124.64531318149238,TP Hit
1726785480000,-535.9323078418165,SL Hit
1726839240000,-43.619053821887064,SL Hit
1727100120000,-17.429305197692884,SL Hit (Same Bar)
1727101500000,23.506722465346684,TP Hit (Same Bar)
1727103960000,-16.10104861639411,SL Hit (Same Bar)
1727110140000,23.430236259882804,TP Hit
1727113800000,-18.680059410180547,SL Hit
1727117460000,10.703980056001456,TP Hit (Same Bar)
1727118720000,-14.619607756532787,SL Hit
1727189160000,82.58977237956424,TP Hit
1727189640000,-14.607677633757703,SL Hit
1727196360000,9.42623307449685,TP Hit (Same Bar)
1727197020000,-8.373143080854788,SL Hit (Same Bar)
1727199480000,23.456716206652345,TP Hit
1727200320000,17.72299219908018,TP Hit
1727205000000,12.453978741483297,TP Hit
1727206800000,-4.71665950944589,SL Hit (Same Bar)
1727272560000,-11.086442994979734,SL Hit
1727278140000,-5.596290173227317,SL Hit (Same Bar)
1727280180000,12.135439432837302,TP Hit (Same Bar)
1727281500000,-13.065164336934686,SL Hit
1727284440000,-10.518916276407253,SL Hit (Same Bar)
1727285520000,15.708242808264913,TP Hit
1727286780000,35.4400858773588,TP Hit
1727286960000,-7.2932274830309325,SL Hit (Same Bar)
1727290080000,12.313604973984184,TP Hit
1727291520000,-5.560533895128174,SL Hit (Same Bar)
1727360160000,-9.405987360798463,SL Hit (Same Bar)
1727366040000,-12.73587954879622,SL Hit (Same Bar)
1727372220000,-15.384997422981542,SL Hit
1727377140000,17.671924865120673,TP Hit (Same Bar)
1727445000000,-13.9403786254843,SL Hit (Same Bar)
1727447280000,29.021363216554164,TP Hit
1727450940000,-5.651851153663301,SL Hit (Same Bar)
1727706120000,-6.58930450113985,SL Hit (Same Bar)
1727709420000,-30.548655811529898,SL Hit
1727712480000,-8.363221193147183,SL Hit (Same Bar)
1727714880000,-6.453540641996369,SL Hit (Same Bar)
1727720040000,-12.128672718776215,SL Hit (Same Bar)
1727796540000,29.943520133165293,TP Hit
1727797560000,53.43890298514452,TP Hit
1727803140000,-16.79892257393658,SL Hit
1727811060000,-5.234228699489904,SL Hit (Same Bar)
1727878620000,-21.846604045880667,SL Hit
1727882160000,-12.502895104211348,SL Hit (Same Bar)
1727885100000,11.408028740857844,TP Hit (Same Bar)
1727891340000,-7.2388545443245675,SL Hit (Same Bar)
1727896560000,-4.667853747130721,SL Hit (Same Bar)
1727965980000,63.4668638525618,TP Hit (Same Bar)
1727970180000,20.248109720472712,TP Hit
1727976300000,-9.659170206068666,SL Hit (Same Bar)
1727984340000,-7.331667824706528,SL Hit (Same Bar)
1728053940000,-29.121801001834683,SL Hit
1728310440000,53.04517422863864,TP Hit
1728311940000,-12.472508076760278,SL Hit (Same Bar)
1728313980000,13.07192418492923,TP Hit (Same Bar)
1728318660000,31.755069928985904,TP Hit
1728325680000,-11.535478191661241,SL Hit
1728404460000,21.88642959059507,TP Hit
1728408900000,-6.967300866141159,SL Hit (Same Bar)
1728410160000,-5.026696778950281,SL Hit (Same Bar)
1728413700000,-7.268707311450271,SL Hit
1728415140000,-2.586672786885174,SL Hit (Same Bar)
1728482280000,20.050120089552365,TP Hit (Same Bar)
1728482880000,22.810000648823916,TP Hit (Same Bar)
1728492780000,-15.355024443335424,SL Hit
1728496320000,40.067311259539565,TP Hit
1728500820000,-12.530271429546701,SL Hit
1728502080000,22.621693923691055,TP Hit
1728570120000,15.300218197371578,TP Hit
1728571680000,13.005096354769194,TP Hit (Same Bar)
1728573420000,-13.589756904191745,SL Hit (Same Bar)
1728579660000,-8.57731796457665,SL Hit
1728582060000,-6.940967648442893,SL Hit (Same Bar)
1728586560000,-4.444599586313416,SL Hit (Same Bar)
1728589740000,-7.237047883623745,SL Hit
1728654480000,-7.5333169660152635,SL Hit (Same Bar)
1728659040000,29.609461644271505,TP Hit
1728662040000,-4.169394273063517,SL Hit (Same Bar)
1728932040000,-5.720168585467036,SL Hit (Same Bar)
1729000020000,-10.449393624134245,SL Hit (Same Bar)
1729007640000,-15.170554234333395,SL Hit (Same Bar)
1729009140000,-10.939064059857628,SL Hit (Same Bar)
1729010460000,29.715790871501667,TP Hit
1729011060000,14.59825711560552,TP Hit (Same Bar)
1729018200000,-3.4076129877576022,SL Hit (Same Bar)
1729021020000,-11.765795021761733,SL Hit (Same Bar)
1729088280000,31.785696678241948,TP Hit
