mode,status,outcome,pnl,reason,structure_age,reclaim_depth,is_expansion,retest_count,active_level,exit_time
SAMPLING_MODE,DEAD,LOSS,-8.371273927841685,SL Hit (Same Bar),16,2.5,True,1,18236.0,1715100720000
SAMPLING_MODE,DEAD,LOSS,-3.371249546100444,SL Hit (Same Bar),24,0.0,True,1,18252.75,1715102760000
SAMPLING_MODE,DEAD,LOSS,-10.93629702279577,SL Hit,25,3.75,True,1,18235.0,1715104020000
SAMPLING_MODE,DEAD,LOSS,-23.572705501283053,SL Hit,21,10.0,True,1,18183.25,1715106240000
SAMPLING_MODE,DEAD,WIN,29.590586866921512,TP Hit,24,5.5,True,1,18181.0,1715109660000
SAMPLING_MODE,DEAD,WIN,21.28592339484021,TP Hit,31,2.75,True,1,18208.0,1715111940000
SAMPLING_MODE,DEAD,LOSS,-3.0950673221377656,SL Hit (Same Bar),30,0.25,True,1,18097.5,1715175060000
SAMPLING_MODE,SURVIVOR,LOSS,-7.753028869032278,SL Hit (Same Bar),16,1.75,False,1,18179.5,1715178060000
SAMPLING_MODE,SURVIVOR,LOSS,-5.333933187845105,SL Hit (Same Bar),39,0.25,False,1,18192.75,1715181300000
SAMPLING_MODE,SURVIVOR,LOSS,-9.73255357342714,SL Hit (Same Bar),29,3.0,False,1,18171.5,1715183160000
SAMPLING_MODE,DEAD,WIN,13.266495909643709,TP Hit,30,1.75,True,1,18187.0,1715185320000
SAMPLING_MODE,DEAD,LOSS,-10.27511676629365,SL Hit,26,3.25,True,1,18165.75,1715186580000
SAMPLING_MODE,SURVIVOR,WIN,22.001663338654907,TP Hit,23,3.25,False,1,18140.0,1715189400000
SAMPLING_MODE,SURVIVOR,WIN,7.733020379862864,TP Hit (Same Bar),55,0.5,False,1,18181.0,1715191260000
SAMPLING_MODE,DEAD,LOSS,-6.090914736872946,SL Hit (Same Bar),31,1.5,True,1,18172.25,1715194680000
SAMPLING_MODE,SURVIVOR,LOSS,-8.7504810247774,SL Hit,35,2.5,False,1,18187.0,1715196600000
SAMPLING_MODE,DEAD,LOSS,-24.25739416867873,SL Hit,31,10.75,True,1,18180.25,1715261580000
SAMPLING_MODE,DEAD,LOSS,-14.092840224351676,SL Hit (Same Bar),31,4.75,True,1,18187.25,1715265420000
SAMPLING_MODE,DEAD,LOSS,-12.595459706564723,SL Hit,23,4.0,True,1,18231.25,1715268780000
SAMPLING_MODE,DEAD,LOSS,-8.026478738385777,SL Hit,22,2.0,True,1,18210.0,1715269380000
SAMPLING_MODE,DEAD,LOSS,-6.99507572260336,SL Hit (Same Bar),20,2.0,True,1,18192.25,1715278980000
SAMPLING_MODE,SURVIVOR,LOSS,-7.94827458725922,SL Hit,54,2.25,False,1,18223.75,1715280360000
SAMPLING_MODE,SURVIVOR,LOSS,-7.340381713205716,SL Hit,42,2.25,False,1,18210.75,1715282520000
SAMPLING_MODE,DEAD,LOSS,-22.68343307368923,SL Hit,18,9.5,True,1,18219.0,1715285220000
SAMPLING_MODE,DEAD,LOSS,-16.444109651209146,SL Hit (Same Bar),66,6.0,True,1,18302.0,1715348160000
SAMPLING_MODE,DEAD,LOSS,-7.702525973661977,SL Hit (Same Bar),52,1.0,True,1,18256.5,1715350980000
SAMPLING_MODE,DEAD,LOSS,-11.040011945420702,SL Hit,22,2.75,True,1,18215.5,1715353200000
SAMPLING_MODE,DEAD,WIN,59.88901563255058,TP Hit,39,12.0,True,1,18209.5,1715555220000
SAMPLING_MODE,DEAD,LOSS,-13.639271041371105,SL Hit (Same Bar),40,5.5,True,1,18329.25,1715607060000
SAMPLING_MODE,DEAD,LOSS,-6.478004631186195,SL Hit (Same Bar),33,1.25,True,1,18303.25,1715607360000
SAMPLING_MODE,DEAD,WIN,25.50751803831372,TP Hit,19,4.0,True,1,18281.25,1715610900000
SAMPLING_MODE,DEAD,LOSS,-5.146109835062816,SL Hit (Same Bar),22,0.5,True,1,18304.25,1715613120000
SAMPLING_MODE,DEAD,LOSS,-8.596721558642457,SL Hit (Same Bar),58,2.75,True,1,18277.0,1715614200000
SAMPLING_MODE,SURVIVOR,LOSS,-11.542553399747703,SL Hit (Same Bar),18,4.0,False,1,18288.0,1715615520000
SAMPLING_MODE,SURVIVOR,LOSS,-3.087143548495078,SL Hit (Same Bar),24,0.75,False,1,18306.0,1715617920000
SAMPLING_MODE,SURVIVOR,WIN,18.01416904956568,TP Hit,29,3.25,False,1,18286.75,1715625060000
SAMPLING_MODE,DEAD,LOSS,-3.34027377327584,SL Hit (Same Bar),23,0.25,True,1,18289.25,1715626920000
SAMPLING_MODE,DEAD,WIN,28.0,Reverse,36,7.25,True,1,18275.25,1715629140000
SAMPLING_MODE,SURVIVOR,WIN,5.518989755160874,TP Hit (Same Bar),18,0.5,False,1,18296.75,1715629140000
